DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
02/29/2020,0,4,0
03/01/2020,0,0,0
03/02/2020,0,4,0
03/03/2020,0,4,0
03/04/2020,1,5,0
03/05/2020,3,5,0
03/06/2020,1,2,0
03/07/2020,2,5,0
03/08/2020,5,9,0
03/09/2020,16,14,0
03/10/2020,11,12,0
03/11/2020,31,15,0
03/12/2020,96,26,0
03/13/2020,166,36,0
03/14/2020,163,36,1
03/15/2020,429,44,0
03/16/2020,739,81,1
03/17/2020,786,98,4
03/18/2020,968,110,6
03/19/2020,1208,146,6
03/20/2020,1140,186,10
03/21/2020,558,173,12
03/22/2020,757,182,10
03/23/2020,909,267,27
03/24/2020,1208,298,23
03/25/2020,1230,373,36
03/26/2020,1357,431,50
03/27/2020,1407,395,73
03/28/2020,849,352,74
03/29/2020,1119,407,87
03/30/2020,1745,493,106
03/31/2020,1493,447,122
04/01/2020,1587,448,129
04/02/2020,1636,396,163
04/03/2020,1441,401,135
04/04/2020,917,321,151
04/05/2020,1149,367,160
04/06/2020,1503,447,164
04/07/2020,1415,456,178
04/08/2020,1320,411,170
04/09/2020,1360,392,184
04/10/2020,1150,322,168
04/11/2020,1122,280,153
04/12/2020,697,251,200
04/13/2020,1061,321,157
04/14/2020,1032,251,151
04/15/2020,880,266,128
04/16/2020,879,233,123
04/17/2020,957,239,116
04/18/2020,574,165,113
04/19/2020,634,136,114
04/20/2020,979,204,93
04/21/2020,898,161,91
04/22/2020,854,158,104
04/23/2020,788,152,106
04/24/2020,627,138,93
04/25/2020,404,106,74
04/26/2020,333,89,60
04/27/2020,609,111,85
04/28/2020,714,118,57
04/29/2020,682,119,71
04/30/2020,599,90,65
05/01/2020,496,79,55
05/02/2020,263,60,46
05/03/2020,247,62,46
05/04/2020,463,83,41
05/05/2020,434,70,48
05/06/2020,452,70,37
05/07/2020,400,77,45
05/08/2020,350,74,42
05/09/2020,121,48,28
05/10/2020,191,43,24
05/11/2020,409,72,32
05/12/2020,400,56,32
05/13/2020,363,59,22
05/14/2020,332,57,14
05/15/2020,259,54,26
05/16/2020,163,42,20
05/17/2020,138,34,16
05/18/2020,269,49,12
05/19/2020,329,63,14
05/20/2020,307,50,18
05/21/2020,334,58,12
05/22/2020,355,52,12
05/23/2020,156,30,18
05/24/2020,175,32,12
05/25/2020,167,31,10
05/26/2020,318,31,9
05/27/2020,221,46,8
05/28/2020,160,34,12
05/29/2020,111,15,10
05/30/2020,66,16,5
05/31/2020,38,5,2
06/01/2020,46,2,3
06/02/2020,2,0,0
