DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
02/29/2020,1,2,0
03/01/2020,0,0,0
03/02/2020,0,4,0
03/03/2020,0,2,0
03/04/2020,2,5,0
03/05/2020,0,6,0
03/06/2020,3,3,0
03/07/2020,1,4,0
03/08/2020,6,1,0
03/09/2020,25,12,0
03/10/2020,24,12,0
03/11/2020,61,21,0
03/12/2020,137,11,0
03/13/2020,182,27,0
03/14/2020,178,28,0
03/15/2020,209,33,2
03/16/2020,458,38,1
03/17/2020,566,59,0
03/18/2020,540,77,4
03/19/2020,553,90,4
03/20/2020,656,110,11
03/21/2020,401,112,5
03/22/2020,321,127,8
03/23/2020,536,171,7
03/24/2020,624,187,17
03/25/2020,593,179,20
03/26/2020,626,211,33
03/27/2020,657,203,41
03/28/2020,383,199,28
03/29/2020,405,159,35
03/30/2020,823,266,35
03/31/2020,636,219,43
04/01/2020,590,172,60
04/02/2020,656,226,63
04/03/2020,686,256,52
04/04/2020,390,200,63
04/05/2020,358,185,86
04/06/2020,719,262,69
04/07/2020,607,197,90
04/08/2020,557,176,65
04/09/2020,563,197,64
04/10/2020,501,193,68
04/11/2020,314,130,59
04/12/2020,253,143,63
04/13/2020,393,188,72
04/14/2020,443,160,59
04/15/2020,434,146,55
04/16/2020,359,110,58
04/17/2020,333,125,42
04/18/2020,187,88,56
04/19/2020,178,84,48
04/20/2020,378,93,50
04/21/2020,374,100,47
04/22/2020,387,108,38
04/23/2020,402,68,47
04/24/2020,414,92,50
04/25/2020,149,52,42
04/26/2020,98,54,33
04/27/2020,302,73,29
04/28/2020,322,71,36
04/29/2020,285,53,33
04/30/2020,218,40,32
05/01/2020,245,50,24
05/02/2020,139,28,23
05/03/2020,104,42,36
05/04/2020,214,47,18
05/05/2020,242,33,18
05/06/2020,164,33,17
05/07/2020,119,31,19
05/08/2020,101,38,13
05/09/2020,75,24,17
05/10/2020,95,20,19
05/11/2020,189,39,13
05/12/2020,164,32,14
05/13/2020,155,40,8
05/14/2020,151,28,16
05/15/2020,136,36,12
05/16/2020,58,15,9
05/17/2020,50,18,10
05/18/2020,131,27,8
05/19/2020,164,38,10
05/20/2020,164,22,12
05/21/2020,142,24,5
05/22/2020,154,35,5
05/23/2020,45,18,7
05/24/2020,70,21,4
05/25/2020,71,26,11
05/26/2020,125,24,5
05/27/2020,103,25,8
05/28/2020,82,27,3
05/29/2020,50,15,3
05/30/2020,36,5,4
05/31/2020,21,3,0
06/01/2020,19,2,0
06/02/2020,1,0,0
