DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
02/29/2020,0,2,0
03/01/2020,0,2,0
03/02/2020,0,5,0
03/03/2020,1,5,0
03/04/2020,2,3,0
03/05/2020,0,5,0
03/06/2020,1,7,0
03/07/2020,3,4,0
03/08/2020,5,5,0
03/09/2020,10,9,0
03/10/2020,24,23,0
03/11/2020,40,30,1
03/12/2020,79,28,0
03/13/2020,165,48,0
03/14/2020,194,57,1
03/15/2020,230,65,1
03/16/2020,530,107,4
03/17/2020,650,109,3
03/18/2020,830,152,9
03/19/2020,1065,160,6
03/20/2020,1184,223,9
03/21/2020,945,223,13
03/22/2020,693,223,14
03/23/2020,1190,336,28
03/24/2020,1390,360,34
03/25/2020,1569,403,30
03/26/2020,1639,427,56
03/27/2020,1569,413,56
03/28/2020,1200,439,89
03/29/2020,1074,453,92
03/30/2020,1836,540,94
03/31/2020,1788,554,93
04/01/2020,1761,516,136
04/02/2020,1807,557,133
04/03/2020,1745,515,154
04/04/2020,1194,467,148
04/05/2020,1130,386,176
04/06/2020,1903,528,198
04/07/2020,1937,517,180
04/08/2020,1835,508,171
04/09/2020,1540,455,153
04/10/2020,1314,442,144
04/11/2020,970,355,152
04/12/2020,910,306,160
04/13/2020,967,355,177
04/14/2020,1290,381,159
04/15/2020,1171,306,139
04/16/2020,1138,281,120
04/17/2020,1094,287,108
04/18/2020,701,209,114
04/19/2020,868,188,119
04/20/2020,1218,221,113
04/21/2020,929,211,87
04/22/2020,1108,176,74
04/23/2020,787,154,86
04/24/2020,773,162,81
04/25/2020,540,114,62
04/26/2020,335,122,78
04/27/2020,719,122,79
04/28/2020,891,121,61
04/29/2020,692,116,72
04/30/2020,590,112,55
05/01/2020,619,108,70
05/02/2020,334,91,55
05/03/2020,247,77,43
05/04/2020,433,79,48
05/05/2020,460,63,38
05/06/2020,445,66,51
05/07/2020,356,63,34
05/08/2020,342,52,40
05/09/2020,255,40,30
05/10/2020,85,38,27
05/11/2020,379,73,23
05/12/2020,314,51,15
05/13/2020,304,47,22
05/14/2020,330,52,20
05/15/2020,265,67,25
05/16/2020,134,56,17
05/17/2020,105,34,22
05/18/2020,274,47,14
05/19/2020,286,49,11
05/20/2020,237,37,21
05/21/2020,303,37,7
05/22/2020,224,45,24
05/23/2020,128,38,11
05/24/2020,117,23,9
05/25/2020,106,41,8
05/26/2020,251,43,6
05/27/2020,148,52,13
05/28/2020,131,29,5
05/29/2020,150,16,9
05/30/2020,79,7,12
05/31/2020,49,5,2
06/01/2020,28,3,2
06/02/2020,2,0,0
